Temperature,Humidity,Datetime
30.50,72.00,2020/7/5 08:00:20
30.50,72.00,2020/7/5 08:00:25
30.50,72.00,2020/7/5 08:00:29
30.50,72.00,2020/7/5 08:00:33
30.50,72.00,2020/7/5 08:00:37
30.50,72.00,2020/7/5 08:00:41
30.50,72.00,2020/7/5 08:00:45
30.50,72.00,2020/7/5 08:00:50
30.50,72.00,2020/7/5 08:00:54
30.50,72.00,2020/7/5 08:00:59
30.50,72.00,2020/7/5 08:01:03
30.50,72.00,2020/7/5 08:01:07
30.50,72.00,2020/7/5 08:01:11
30.50,72.00,2020/7/5 08:01:16
30.50,72.00,2020/7/5 08:01:20
30.50,72.00,2020/7/5 08:01:24
30.50,72.00,2020/7/5 08:01:28
30.50,72.00,2020/7/5 08:01:33
30.50,72.00,2020/7/5 08:01:37
30.50,72.00,2020/7/5 08:01:41
30.50,72.00,2020/7/5 08:01:45
30.50,72.00,2020/7/5 08:01:50
30.50,72.00,2020/7/5 08:01:55
30.50,72.00,2020/7/5 08:01:59
30.50,72.00,2020/7/5 08:02:04
30.50,72.00,2020/7/5 08:02:08
30.50,72.00,2020/7/5 08:02:12
30.50,72.00,2020/7/5 08:02:17
30.50,72.00,2020/7/5 08:02:22
30.50,72.00,2020/7/5 08:02:26
30.50,72.00,2020/7/5 08:02:30
30.50,72.00,2020/7/5 08:02:35
30.50,72.00,2020/7/5 08:02:39
30.50,72.00,2020/7/5 08:02:43
30.50,72.00,2020/7/5 08:02:47
30.50,72.00,2020/7/5 08:02:52
30.50,72.00,2020/7/5 08:02:56
30.50,72.00,2020/7/5 08:03:00
30.50,72.00,2020/7/5 08:03:04
30.50,72.00,2020/7/5 08:03:08
30.50,72.00,2020/7/5 08:03:13
30.50,72.00,2020/7/5 08:03:17
30.50,72.00,2020/7/5 08:03:21
30.50,72.00,2020/7/5 08:03:25
30.50,72.00,2020/7/5 08:03:30
30.50,72.00,2020/7/5 08:03:34
30.50,72.00,2020/7/5 08:03:39
30.50,72.00,2020/7/5 08:03:43
30.50,72.00,2020/7/5 08:03:47
30.50,72.00,2020/7/5 08:03:52
30.50,72.00,2020/7/5 08:03:57
30.50,72.00,2020/7/5 08:04:01
30.50,72.00,2020/7/5 08:04:05
30.50,72.00,2020/7/5 08:04:09
30.50,72.00,2020/7/5 08:04:14
30.50,72.00,2020/7/5 08:04:18
30.50,72.00,2020/7/5 08:04:22
30.50,72.00,2020/7/5 08:04:26
30.50,72.00,2020/7/5 08:04:31
30.50,72.00,2020/7/5 08:04:35
30.50,72.00,2020/7/5 08:04:40
30.50,72.00,2020/7/5 08:04:44
30.50,72.00,2020/7/5 08:04:48
30.50,72.00,2020/7/5 08:04:52
30.50,72.00,2020/7/5 08:04:57
30.50,72.00,2020/7/5 08:05:01
30.50,72.00,2020/7/5 08:05:05
30.50,72.00,2020/7/5 08:05:09
30.50,72.00,2020/7/5 08:05:13
30.50,72.00,2020/7/5 08:05:18
30.50,72.00,2020/7/5 08:05:22
30.50,72.00,2020/7/5 08:05:26
30.50,72.00,2020/7/5 08:05:30
30.50,72.00,2020/7/5 08:05:35
30.50,72.00,2020/7/5 08:05:39
30.50,72.00,2020/7/5 08:05:43
30.50,72.00,2020/7/5 08:05:47
30.50,72.00,2020/7/5 08:05:51
30.50,72.00,2020/7/5 08:05:55
30.50,72.00,2020/7/5 08:06:00
30.50,72.00,2020/7/5 08:06:04
30.50,72.00,2020/7/5 08:06:08
30.50,72.00,2020/7/5 08:06:12
30.50,72.00,2020/7/5 08:06:17
30.50,72.00,2020/7/5 08:06:21
30.50,72.00,2020/7/5 08:06:25
30.50,72.00,2020/7/5 08:06:29
30.50,72.00,2020/7/5 08:06:34
30.50,72.00,2020/7/5 08:06:38
30.50,72.00,2020/7/5 08:06:42
30.50,72.00,2020/7/5 08:06:47
30.50,72.00,2020/7/5 08:06:51
30.50,72.00,2020/7/5 08:06:55
30.50,72.00,2020/7/5 08:06:59
30.50,72.00,2020/7/5 08:07:04
30.50,72.00,2020/7/5 08:07:08
30.50,72.00,2020/7/5 08:07:12
30.50,72.00,2020/7/5 08:07:16
30.50,72.00,2020/7/5 08:07:20
30.50,72.00,2020/7/5 08:07:25
30.50,72.00,2020/7/5 08:07:29
30.50,72.00,2020/7/5 08:07:33
30.50,72.00,2020/7/5 08:07:37
30.50,72.00,2020/7/5 08:07:42
30.50,72.00,2020/7/5 08:07:46
30.50,72.00,2020/7/5 08:07:51
30.50,72.00,2020/7/5 08:07:55
30.50,72.00,2020/7/5 08:07:59
30.50,72.00,2020/7/5 08:08:03
